index,total,batch_size,clip_offset,cpu_only,epochs,learning_rate,no_cache,num_gpus,num_ranks,train_split,wbce,imgs_per_s
run_53428,1494.2229323387146,32,15,False,30,0.001,True,1,1,0.8,0.5,1.3384883585407552
run_53429,1048.268263578415,32,15,False,30,0.001,True,2,2,0.8,0.5,1.907908566431947
run_53430,664.9484975337982,32,15,False,30,0.001,True,4,4,0.8,0.5,3.0077517392966864
run_53431,297.8718445301056,32,15,False,30,0.001,True,4,8,0.8,0.5,6.714296892192045
run_53432,111.25677394866943,32,15,False,30,0.001,True,4,16,0.8,0.5,17.976433515165024
run_53433,78.90235638618469,32,15,False,30,0.001,True,4,32,0.8,0.5,25.347785435089836
