job_id,pipeline_file,total_duration,steps,RELION_OPT_FLAGS,RELION_CMD,RELION_SCRIPT_NAME,RELION_CPU_THREADS_PER_TASK,RELION_MPI_FLAGS,RELION_PROJ_DIR,RELION_OUTPUT_DIR,RELION_NUM_CPUS,RELION_CPUS_PER_TASK,path,stage,cpu_opt,machine,relion_motion_refine duration,relion_motion_refine_mpi duration,relion_motion_refine 0,relion_motion_refine_mpi 0,relion_motion_refine 1,relion_motion_refine_mpi 1,relion_motion_refine 2,relion_motion_refine_mpi 2
78426,benchmark_scripts/10338/pipeline_polish_5.sh,51210.92904996872,"[{'name': 'relion_motion_refine', 'duration': 16745.184577465057, '0': 0.87, '1': 8385.0, '2': 2.88}, {'name': 'relion_motion_refine_mpi', 'duration': 34465.505123376846, '0': 0.87, '1': 8385.0, '2': 2.88}]",--dont_combine_weights_via_disc --pool 2 --j 4,,./benchmark_scripts/10338/pipeline_polish_5.sh,4,-n 2,/home/nx07/nx07/sljack92/relion/10338,/home/nx07/nx07/sljack92/intel-e2e-benchmark/case1/runs/clx/job_78426,2,1,runs/clx/job_78426/metrics.json,5,False,clx,16745.184577465057,34465.505123376846,0.87,0.87,8385.0,8385.0,2.88,2.88
80208,benchmark_scripts/10338/pipeline_polish_5.sh,55251.16620898247,"[{'name': 'relion_motion_refine', 'duration': 19889.665502786636, '0': 0.87, '1': 8385.0, '2': 2.88}, {'name': 'relion_motion_refine_mpi', 'duration': 35361.204431295395, '0': 0.87, '1': 8385.0, '2': 2.88}]",--dont_combine_weights_via_disc --cpu --pool 2 --j 4,,./benchmark_scripts/10338/pipeline_polish_5.sh,4,-n 2,/home/nx07/nx07/sljack92/relion/10338,/home/nx07/nx07/sljack92/intel-e2e-benchmark/case1/runs/clx/job_80208,2,1,runs/clx/job_80208/metrics.json,5,True,clx,19889.665502786636,35361.204431295395,0.87,0.87,8385.0,8385.0,2.88,2.88
