job_id,pipeline_file,total_duration,steps,RELION_OPT_FLAGS,RELION_CMD,RELION_MPI_FLAGS,RELION_CPUS_PER_TASK,RELION_IMG,RELION_PROJ_DIR,RELION_OUTPUT_DIR,RELION_SCRIPT_NAME,RELION_CPU_THREADS_PER_TASK,RELION_NUM_CPUS,path,stage,cpu_opt,machine,relion_motion_refine duration,relion_motion_refine_mpi duration,relion_motion_refine 0,relion_motion_refine_mpi 0,relion_motion_refine 1,relion_motion_refine_mpi 1,relion_motion_refine 2,relion_motion_refine_mpi 2
251383,benchmark_scripts/10338/pipeline_polish_5.sh,64236.88473248482,"[{'name': 'relion_motion_refine', 'duration': 17983.205330133438, '0': 0.87, '1': 8385.0, '2': 2.88}, {'name': 'relion_motion_refine_mpi', 'duration': 46253.454513311386, '0': 0.87, '1': 8385.0, '2': 2.88}]",--dont_combine_weights_via_disc --pool 2 --j 4,,,1,/home/vol08/scarf688/git/intel-e2e-benchmark/case1/relion.sif,/work3/projects/sciml/scarf688/relion/10338,/work3/projects/sciml/scarf688/relion/runs/scarf/job_251383,./benchmark_scripts/10338/pipeline_polish_5.sh,4,2,runs/scarf/job_251383/metrics.json,5,False,scarf,17983.205330133438,46253.454513311386,0.87,0.87,8385.0,8385.0,2.88,2.88
262859,benchmark_scripts/10338/pipeline_polish_5.sh,64207.983256578445,"[{'name': 'relion_motion_refine', 'duration': 19966.754230737686, '0': 0.999, '1': 7845.0, '2': 4.2}, {'name': 'relion_motion_refine_mpi', 'duration': 44241.19758081436, '0': 0.999, '1': 7845.0, '2': 4.2}]",--dont_combine_weights_via_disc --cpu --pool 2 --j 4,,,1,/home/vol08/scarf688/git/intel-e2e-benchmark/case1/relion.sif,/work3/projects/sciml/scarf688/relion/10338,/work3/projects/sciml/scarf688/relion/runs/scarf/job_262859,./benchmark_scripts/10338/pipeline_polish_5.sh,4,2,runs/scarf/job_262859/metrics.json,5,True,scarf,19966.754230737686,44241.19758081436,0.999,0.999,7845.0,7845.0,4.2,4.2
