index,total_time,first_epoch_time,second_epoch_time,first_epoch_train_time,second_epoch_train_time,first_epoch_test_time,second_epoch_test_time,imgs_per_s_second_epoch,imgs_per_s_first_epoch,train_accuracy,test_accuracy,train_loss,test_loss,batch_size,clip_offset,cpu_only,epochs,learning_rate,no_cache,num_gpus,num_ranks,train_split,wbce,ntasks_per_node,system,run_id,python
run_66576,51649.54847550392,1560.6675770282743,1637.915146112442,1516.9225599765778,1599.991123199463,43.7237286567688,37.92036056518555,12.125067269877283,12.789051011476518,0.8587064743041992,0.8718251585960388,0.20892633497714996,0.18544025719165802,32,15,False,30,0.001,False,0,4,0.8,0.5,4.0,EPCC,66576,vanilla
run_66577,23524.96386408806,772.7405717372894,737.0023593902588,749.1367490291595,718.0756278038025,23.59759521484375,18.91870903968811,27.0166529106884,25.89647354123442,0.8742671608924866,0.8700324296951294,0.18431665003299713,0.21448372304439545,32,15,False,30,0.001,False,0,8,0.8,0.5,4.0,EPCC,66577,vanilla
run_66578,11379.681260585783,399.25504636764526,367.6282546520233,385.58925557136536,357.5608627796173,13.656806707382202,10.0538911819458,54.256497339187796,50.31260523909859,0.8818459510803223,0.8577045202255249,0.17027392983436584,0.2206094115972519,32,15,False,30,0.001,False,0,16,0.8,0.5,4.0,EPCC,66578,vanilla
run_66579,8428.152407884598,318.27854561805725,274.7597680091858,297.2674124240875,269.4334223270416,20.999605417251587,5.323489904403687,72.00294541206561,65.2611056213709,0.890428900718689,0.8739011287689209,0.16009922325611115,0.17891718447208405,32,15,False,30,0.001,False,0,32,0.8,0.5,4.0,EPCC,66579,vanilla
run_66584,43590.22755908966,1294.3353719711304,1484.7177617549896,1202.3529314994812,1407.646065235138,91.97278356552124,77.05811429023743,13.781873497269613,16.13502948406823,0.8662624359130859,0.8827086687088013,0.19370214641094208,0.18197403848171234,32,15,False,30,0.001,False,0,4,0.8,0.5,4.0,EPCC,66584,intel
run_66585,19652.996721744537,649.8109686374664,663.5063710212708,613.4108271598816,634.0308508872986,36.38298773765564,29.471203088760376,30.59788017073703,31.626438825383683,0.8770614862442017,0.8737696409225464,0.1836441159248352,0.20198659598827362,32,15,False,30,0.001,False,0,8,0.8,0.5,4.0,EPCC,66585,intel
run_66586,10048.950091600418,370.1908702850342,325.28976941108704,338.41567397117615,305.85856103897095,31.761518955230716,19.42339539527893,63.42801043103106,57.32594998437441,0.8748027682304382,0.8450528383255005,0.18112042546272278,0.22257351875305176,32,15,False,30,0.001,False,0,16,0.8,0.5,4.0,EPCC,66586,intel
run_66587,5018.560455083847,180.04626035690308,165.50055527687073,168.03482127189636,156.2506983280182,12.006233930587769,9.245760440826416,124.15944509427692,115.45226074665173,0.8825953602790833,0.8800027966499329,0.17457956075668335,0.19229038059711456,32,15,False,30,0.001,False,0,32,0.8,0.5,4.0,EPCC,66587,intel
